text,class
 انا اعرف ده في بني سويف جامعة النهضة بس كان زمان معرفش دلوقتي,egypt
خدا فلوسي منقدوش نخدمو,morocco
عيب عليك الناس تتفرج في ديارهم عائلة معاهم بنات عيب عليك أنتي راجل كبير و ناس الكل كاانت تقدرك أي كانت خاطر بعد الحلقة باش توالي تفريكة 2016,tunisia
بربعين بالصح استعملتها  و استعملتها,algeria
و حيلي خلاه أكتر مالديب,algeria
صحة هيا مالا ﻛﻮبﻲ دوك,algeria
كنت في حالة ما شفتهمش,algeria
المخالفات اكلتناا اكل,egypt
ملاحة,algeria
هو يقولك تفسير تاعها يسمع الدقات تاع القلب كل ما تكون خايف ولا منبرفي احتمال كبير قادر تتمس,algeria
أنا لي حزني كتر هو الطبسيل ديل الحمص و من بعد لعرادة ل رسطوران,morocco
و مبعديكا نردوه بالعربية ساعتين من زمان مينيموم,algeria
ثقف نفسك ىا امين وكن في مستوى القناة فانت تافه جدا تفاهة بية المراهقة ارحل عن القناة,tunisia
الخميس دايمن لافاك فارغة,algeria
دركا تمنية أي نورمال أني نتفرج أنا المسلسل على السبعة يفض على التمنية,algeria
بالله عليك ابقى روح مدرسة الشيخ غريب في عزبة النخل ولا روح مدرسة المرج واتفرج على العشة قصدي المدرسة,egypt
تي واللە لا فيكم واحد صادق تفيە عليكم الزوز,tunisia
اكيد انت يهودى مش ممكن تكون جزائرى اومسلم,egypt
"ف الصباح كان شي المتقاعدين فرانسويين كيهدرو هو يقول ليه حدة "" فرجني "" و أنا نقول ف راسي شنو تيقصد ب هاد الشي",morocco
بعد ماقلنا ربنا فتح علينا بمدرب محترم للاسف هدم كل اللى عمله بمورو ده هو واللى اسمه كلاين بتاع نص الملعب فين محمد ابراهيم وكريم فتح الله احنا مش حنتكلموا على ريعو لان اخلاقه هى كمان اللى بتبعده عننا مش كابرال وبس وعشمان يروح عند الفراخ البيضاء بس ده برضه بعده,egypt
شكون زياني,algeria
انا بصراحة معادش يعجبني برنامجوا ولا من امسط البرامج.خاصة من جاب حاتم القرمازي ويتمسخر عليه حتى ولو هو غالط في روحو متتعاملش معاه اكاكا.وزادا يدافع على ناس متستاهلش,tunisia
اه بصح ولكن جاء مع المونطو ديالي حتى هو,morocco
عملتو الفضح ربي يهديكم يا لبنات,tunisia
كون كانت بهاد الشكل,morocco
هذا نتاج تربية الراقصة العاهرة سعاد محاسن برا يلعن بوك وبو خوك وبو سعاد وبو لمين معاك عائلة زبالة,tunisia
أول محرم يخي صرحو في الشروق نهار السبت,algeria
تيقني فطرنا مع السبعة,morocco
عقبال يارب مايزوروا الكويت وغيرها من القنصليات علشان يسلموهم الكشوف الانتخابية لاجراء التصويت بالرقم القومي للمقيمين بالخارج داخل القنصليات,egypt
ربنا يهدي الجميع و و كل و احد بيوخذ نصيبه و لكل مجتهد نصيب,egypt
عقبت كونكور بصح قالت لك جو كروا ﻟﻴﭙﻮست أم واجدين و كلش,algeria
مش ناقص غير ان شعب مصر,egypt
أصل ماعندوش منطق و ما يعرفش يحكي..,tunisia
واش راحة طيبي مع الصباح,algeria
لازم تنقضي سوا,algeria
قولي لها برك أ فريال أني نعول عليك,algeria
أناأعرف من القزائريين كم من البطولات حصلتم عليها سواء على مستوى المنتخبات او الانديه - يكفى ان الاهلى المصرى حصل لوحده بطولات الافريقية والاشتراك فى بطولة اندية العالم ثلاث مرات واشتراك مصر فى بطولة كاس القارات مرات ومرات,egypt
بكري كان ﻳقال لي وليد لي جورناليست من تاع الشروق عندو طريق معبدة لجهنم,algeria
بلاهي ملا مريض مقداد بربي لا عاد تجيبوه,tunisia
عرايا ضحايا مش لاقي الرغيف,egypt
ماااااااااااااااسط يدخل بعضو كي يجبدولو على النهضة تاااااااااااااافه و لا يليق ببرنامج كهذا,tunisia
السكنة كي تعودي وحدك ولا مزوزة يعطيوك سكنة صغيرة كي تعودي عندك زوز ولاد يعطيك وحدة أكبر المهم عيشي في بلادي و اخدمي لبلادي بعاد علينا ياسر بعاد,algeria
شكون قالك عليها,algeria
عسول سامي,tunisia
روحي برك أ رؤى أو كاين لتاي,algeria
انشر ياعم وربتا ياخد اللى فى بالى قول امين قبل متنشر,egypt
واحد خدام بولحية تاعهم يبات التحت في الإيتاج لي التحت راح موراها,algeria
أيا تهنيتوا,algeria
وادا يعطيك هدا الميساج سافي راح ، جرب تفورماته و لا جرب ا اس بي فيكس,algeria
لمين صريح ورزين في كلاموا على ذاك أنا نحبو.برافو لمين النهدي,tunisia
بالرجولية ابداع  برافوووووووووووووو واصلو يجمع بين الهزل و الدراما و تجسيد للواقع,tunisia
انا ما ننجم نقول والو ما تبعتش المتيو,algeria
يارب اشفي كل مريض بس نفسي من السيد كمال الشاذلي وهو موجود معنا الان ان يعترف امام الشعب بكل ماتم تمريرة من قوانيين ونحن ةاشعب كنا نراه يدافع عن الحكومة بكل مالدية من قوة في التحايل بداية من رغيف العيش وانا لن انسي عندما وقف امام العضو رجب حميدة عندما احضر رغيف عيش من اللي بناكلة نحن الشعب وظل يدافع واعتقد ان كام مليون من الشعب شاهد هذا فانا راي ان يعترف قبل ان يقابل رب كريم والشعب عندما يعرف حقية هذا الدفاع المميت عن قوانيين وعن بلاوي هذا النظام سوف يدعوا لك وقبل ان تذهب الي ؟,egypt
3-الحزب داخل على انتخابات وفي أشد الحاجة للبلطجية لارهاب الشعب المقهور,egypt
العام هدا عندك خمسة تخدم خمسة,algeria
نضن تكون كيف الارض,algeria
خزرت فيهم أنايا,algeria
خاصة إلا بدات كتعرق ياك أ ماما,morocco
تقوم بفتح الحجرة فى الصباح ثم ترتيب وتنظيف الحجرة استعدادا للمترددين ومع جرس الحصة الأولى تأتى المسابقات والأجتماعات من كافة التخصصات والأولية باسبقة الحجز ثم كام حصة تربية مكتبية على الماشى وأكيد بتكون الأواخر والفسحة والأستعارات داخلين خارجين والسجلات وتصنيف وحبة فهرسة وكانه مولد وصحبة غايب وتغلق المكتبة فى نهاية اليوم انتبدء من جديد وتقولى المسكينة تلاقى كتاب مكانه دنا كل اما ارتب الكتب على اأرفف ياتى فصل واحدلضيع كل مجهودى هباءا,egypt
لغناية ما تكملش لازمة لك واحد يهدر,algeria
يسقسيو كيما كنا حنا قبل,algeria
الفشل بحول الله كالعادة,tunisia
اما بالنسبة للاعب هايل اتمنى ان يلعب للزعيم الوحداتي ولا تتكرك منبر الغد مش حتقدر تغمض عينيك,egypt
أنا  صح على بالي بلي راح تروح بالصح ما علاباليش بلي راحت سايي,algeria
آه أﻣﭙﻮسيبل في بلادنا,algeria
محلاكوم ازوز ربي ايهنيكوم,tunisia
أنا كنت تندير منها,morocco
و انت مالك يا حسين افندى ... اهلا بالبرادعى فى الكنيسه بس يسيبه من الاخوان المسلمون لانهم ليس لهم عهد و لا امان,egypt
اه بصح خاص يعاود يتكتب,morocco
لا نقراو فرنسي,algeria
وعلي فكرة انا مش متعصبة بالمرة..لكن ف حياتي مش حنسي المشاهد دي، وبعدين فهميني بس بأي عقل أو منطق ياخدني الحنين لعروبتي مع الدولة دي وأشجع ناس بتكفّرني يعني مش معتبراني عربية ولا مسلمة؟؟؟,egypt
لازم نشوف لاكارت تيعك,algeria
مية مية يازاهر ويريت تمنعوة طول العمر,egypt
مسكينة مرزنهااااااااااااااااا,tunisia
خاصك تطلبي المساعدة من تلاميد هاد لعام,morocco
كان من زمان,egypt
وشد حيلك وربنا معاك وانا مؤيدك جدا في كل قراراتك ومنتظر منك حجات كتيرة قوي,egypt
ماسيخ زايد تعيشو طول عمركم طحانة,tunisia
فرنسا ترسل لك الفيزا وكندا كترسل لك دعوة وشناهو الفرق التأشيرة و الدعوة,morocco
باش تجيو فاش نعيط ليكم,morocco
المهم احنا هنا أو عاود جا,algeria
غدي تقراو غير هاد ليام صافي و تحبسو شهر و نص ف لول ديل العام,morocco
معلم و منك نتعلم,tunisia
"""و لسان قوله يقول : ان كيدهن لا عظيم _x000D_",tunisia
قلت لهم سبحان الله مقبيلة عيطت بلاﭙﻮس تاعها,algeria
و لونكادرور  شكون,algeria
الله يكون ف عونكم,morocco
وش قلتي ديرينا ملوخية,algeria
انا شايف ان محمد البرادعى شعبيته بتقل يوم بعد يوم ولو نزل انتخابات نزيهة امام حسنى مبارك,egypt
ما رانيش نصلي والله الصلاة تخليك تولي منيح,algeria
ماسطة كيف وجوههم,tunisia
مبقناش كان نمشيو المدرسة بش نتكفو أولى نحسن مستوى ديالنا أولى نتعلمو,morocco
كيفاش تقولي هدا العبد مقدرة له يصرا له كيما هكا و  ما علاباليش,algeria
نورمال عادو ليسونسي بﺎريقزوﻣﭙﻞ واحد ليسونسي يخدم لي جات,algeria
أها هو كون واحد يروح للطبيب برك لتما من طبيب لطبيب أي تتفرز,algeria
ماكاش تمانية في الخط يخي يا أمينة,algeria
عملتو العار كان تقصوه خير,tunisia
اللي بيكتب باسم نيفين شكري عفوا . انت في النار مع اني اشك انك مؤمن بالجنة والنار اساسا,egypt
خدمة ساهلة وفيها برشا ربح,tunisia
نشا الله تفسدلك لاسوري كيما كانت تقول هاديك لعجوزة تاع البارح,algeria
تافه ركيك و بليد و مش متربي,tunisia
يعني فاهم كلش,algeria
هدا الدور الحقيقى للاب و هدا قمت العطاء و التضحية الله يشفيلو بنتو و الله يعطيه القوة و الصبر,tunisia
الحومة ولات تخوف ولى هدا يعس في هدا,algeria
كلب و عميل تفوه عليه و على والديه,tunisia
ارسلت له رسالة قلت له سيدي مافهمتش علاش اصريتي وانت عارف باللي عندك خدمة ومامساليش,morocco
والله يا اخي لسه في في الراتب كمان شوية فاضلين هات ما عندك,egypt
كيفاش راح نكتبها,algeria
كلنا يا عم منبثقون من بين هذا الشعب وشبعانيين انبثاق ويا ريت كل منافق منبثق من الأرض يدفن فيها وما يخرج تاني ومعاه نيفين شكري . بلد انبثاق صحيح !!!,egypt
الى بحب الاهلى او الزمالك اوالاسماعيلى او اى فريق اخر عليه ان يكون رياضى ولاتنسو,egypt
برافو جعفر محلا تعليقك على تونس,tunisia
الحديد نزل السعر عالميا وعندنا يتكلمن عن ان الحديد زاد ياناس المقاطعه هيه كل شى,egypt
سمحولي ، عندي مشكل مع لورديناتور ديالي,morocco
محلا ها ريم الرياحي مرا بأتم الكلمة تحسها صادقة وثابتة وتعرف حق قدرها,tunisia
قلت لك يا هانى قبل ذلك غلطة عمرك انك فكرت لحظة انك تترك نادى عملاق مثل الزمالك علشان شوية نصابين كانوا هيركنوك على الدكة فى الاخر على العموم تحمل اخطائك,egypt
أي حاجة خاصنا نبغيو كلنا نهدرو فيها,morocco
فعلا انت سيدة تونس بإمتياز، كلنا ثقة في آرائك وندعمك دائما، وأتمنى لو نساء تونس الكل يكونو مثل السيدة الفاضله محرزية العبيدي,tunisia
فيه بزاف ديال الهدرة ، خاصو غير يتكتب,morocco
ممسطها و ممسط كلامها.أش جايا تعمل بربي,tunisia
انا واحد من ناس متفرجتش و مقادش نحب نتفرج على هل مناظر و هل أشكال التافهة,tunisia
ننسا المودباس لي درته و مالقري هو نفسه نعاوده في كل بلاصة,algeria
وحدك يا بن ڨمرة راك ڨمر يا فوزي واصل في ضيائك و بريقك,tunisia
نتي دابة ف الماصرت التاني و غادي تكملي الدكتورا علاش بغيتي توجدي الدكتروا تماك قبل ما توجديها هنا,morocco
ربي يجازيكم,tunisia
مانتو مخترعين طائرات,egypt
يا راجل انت لسه صحي من النوم الموضع ده من اكثر من سنه ولا انت عيز تهيج المسلمين علي الاقباط,egypt
الجريمة و التهمة الموجهه للناشر: منشورات و تنظيمات ضد امن الدولة لها علاقة بتيارات متطرفة خاصة ان قريبه من الجماعات اياها! لكن اعتقال عشان كتاب فاشل؟ بيتغزل فى البرادعى و بيسرد كلام موجود على الانترنت و مش جديد؟ طيب كل المعلومات اللى فيه موجودة على النتّ يبقى يصادر ايه؟ و ليه؟ و بعدين الكتاب تجاهل توضيح الحقائق التى يريد الناس معرفتها عن علاقته بالاخوان و ايران و دكتور شاكر و امركيا! يعنى الكتاب ليس فيه شىء مهم!,egypt
صح,algeria
ناس تيلبسو الحوايج و ماتيحسو بوالو و هيا كتزيد تلبس و لكن بلى فايدة,morocco
عندنا البرق بزاف,morocco
يا حسراه غير ما برك,algeria
الحوار التونسي باهية في كل شي,tunisia
راح نقول لك لطناش تاع ليل او ساعات انا نولي نخربط,algeria
هادشي ماشي نورمال,morocco
بصح مشني فاهمتها,algeria
مكانش منها,algeria
طاحون,tunisia
ما عندهاش مشكل جانا واحد جديد قالت لي نخاف كشما نديرلو يهرب الولد,algeria
يا حسراه يا انتيا ما  درت لك والو,algeria
كي تروح للكونترول تاعها عند الطبيب في دزاير نجيبلها شوية حوايج,algeria
والله العبد يعرف وين يحط رجلو تاني,algeria
مشي مليح الضرب,algeria
أكبر خاسر في الحكاية هو المتفرج الي يضيع وقت مهم من عمرو باش يشوف مثل هذا الأحمق.,tunisia
قالولو راه متوحش قاع ما شفتهش واش دار في الكلب,algeria
اتقى الله يابراهيم انت وامثالك احنا مش ناقصين كفاية اللى احنا فيه .. كرهتنا فى الكورة وفى كل شئ.,egypt
والله ربي سبحانو لا يضلم وهو ها الجرذ حيوان اسمو على جسمو شراكة شلاكة نهضاوي كلب,tunisia
